category;variant;title;date_range;sort_date;url
Awal Semester;pink;PKKMB (Mahasiswa Baru);22 Sep - 26 Sep 2025;22/09/2025;https://www.google.com/
Awal Semester;pink;Kursus Kompetensi (S1/D3);22 Sep - 27 Sep 2025;22/09/2025;https://www.google.com/
Perkuliahan;yellow;Perkuliahan Aktif (Pra-UTS);29 Sep - 06 Des 2025;29/09/2025;https://www.google.com/
Perkuliahan;yellow;Perkuliahan (Pasca-UTS);02 Jan - 29 Jan 2026;02/01/2026;https://www.google.com/
Administrasi;blue-solid;Distribusi FRS Online;25 Sep - 25 Okt 2025;25/09/2025;https://www.google.com/
Administrasi;blue-solid;Pengisian KRS Online;29 Sep - 25 Okt 2025;29/09/2025;https://www.google.com/
Administrasi;blue-solid;Batas Cetak KRS;Sekarang - 25 Nov 2025;22/11/2025;https://www.google.com/
Administrasi;blue-solid;Batas Cuti Akademik;15 Des 2025;15/12/2025;https://www.google.com/
Tambahan;blue-outline;Pelatihan Kompetensi;23 Feb - 28 Feb 2026;23/02/2026;https://www.google.com/
Ujian;pink;Ujian Tengah Semester (UTS);08 Des - 24 Des 2025;08/12/2025;https://www.google.com/
Ujian ;pink;Ujian Utama;02 Feb - 07 Feb 2026;02/02/2026;https://www.google.com/
Ujian;pink;Ujian Akhir Semester (UAS);09 Feb - 21 Feb 2026;09/02/2026;https://www.google.com/
Libur;yellow;Libur Natal & Tahun Baru;25 Des 2025 - 01 Jan 2026;25/12/2025;https://www.google.com/
;;;;;
